"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user cannot login with invalid credentials","680","invalidLoginTest","Surefire suite","Sat May 09 12:07:41 UTC 2026","passed","Sat May 09 12:07:41 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","706","invalidLoginTest","Surefire suite","Sat May 09 12:07:40 UTC 2026","passed","Sat May 09 12:07:40 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","674","invalidLoginTest","Surefire suite","Sat May 09 12:07:42 UTC 2026","passed","Sat May 09 12:07:43 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","704","invalidLoginTest","Surefire suite","Sat May 09 12:07:44 UTC 2026","passed","Sat May 09 12:07:44 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","2191","invalidCheckoutTest","Surefire suite","Sat May 09 12:07:45 UTC 2026","passed","Sat May 09 12:07:47 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify that a user can successfully log out and is redirected to the login page","2452","successfulLogoutTest","Surefire suite","Sat May 09 12:07:35 UTC 2026","passed","Sat May 09 12:07:37 UTC 2026","tests.postive.LogoutTests","Surefire test","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot continue checkout with missing required fields","2126","invalidCheckoutTest","Surefire suite","Sat May 09 12:07:48 UTC 2026","passed","Sat May 09 12:07:50 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","707","invalidLoginTest","Surefire suite","Sat May 09 12:07:38 UTC 2026","passed","Sat May 09 12:07:39 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","2105","invalidCheckoutTest","Surefire suite","Sat May 09 12:07:50 UTC 2026","passed","Sat May 09 12:07:53 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
