"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user cannot login with invalid credentials","694","invalidLoginTest","Surefire suite","Sat May 09 12:23:00 UTC 2026","passed","Sat May 09 12:23:00 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","2109","invalidCheckoutTest","Surefire suite","Sat May 09 12:23:05 UTC 2026","passed","Sat May 09 12:23:07 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","706","invalidLoginTest","Surefire suite","Sat May 09 12:23:03 UTC 2026","passed","Sat May 09 12:23:04 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","674","invalidLoginTest","Surefire suite","Sat May 09 12:23:02 UTC 2026","passed","Sat May 09 12:23:03 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","694","invalidLoginTest","Surefire suite","Sat May 09 12:22:58 UTC 2026","passed","Sat May 09 12:22:59 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify that a user can successfully log out and is redirected to the login page","2355","successfulLogoutTest","Surefire suite","Sat May 09 12:22:55 UTC 2026","passed","Sat May 09 12:22:58 UTC 2026","tests.postive.LogoutTests","Surefire test","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot continue checkout with missing required fields","2230","invalidCheckoutTest","Surefire suite","Sat May 09 12:23:10 UTC 2026","passed","Sat May 09 12:23:12 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","684","invalidLoginTest","Surefire suite","Sat May 09 12:23:01 UTC 2026","passed","Sat May 09 12:23:02 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","2088","invalidCheckoutTest","Surefire suite","Sat May 09 12:23:07 UTC 2026","passed","Sat May 09 12:23:09 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
