"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo UI Tests","0","Checkout Negative Scenarios","3","0","","0"
"0","SauceDemo UI Tests","0","Login Negative Scenarios","5","0","","0"
"0","SauceDemo UI Tests","0","Authentication","1","0","","0"
