"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user cannot continue checkout with missing required fields","1212","invalidCheckoutTest","Surefire suite","Sat May 09 18:02:54 UTC 2026","passed","Sat May 09 18:02:55 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","397","invalidLoginTest","Surefire suite","Sat May 09 18:02:51 UTC 2026","passed","Sat May 09 18:02:51 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","421","invalidLoginTest","Surefire suite","Sat May 09 18:02:53 UTC 2026","passed","Sat May 09 18:02:53 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify that a user can successfully log out and is redirected to the login page","2026","successfulLogoutTest","Surefire suite","Sat May 09 18:02:45 UTC 2026","passed","Sat May 09 18:02:48 UTC 2026","tests.postive.LogoutTests","Surefire test","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot login with invalid credentials","494","invalidLoginTest","Surefire suite","Sat May 09 18:02:48 UTC 2026","passed","Sat May 09 18:02:49 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1160","invalidCheckoutTest","Surefire suite","Sat May 09 18:02:57 UTC 2026","passed","Sat May 09 18:02:59 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","418","invalidLoginTest","Surefire suite","Sat May 09 18:02:49 UTC 2026","passed","Sat May 09 18:02:50 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","375","invalidLoginTest","Surefire suite","Sat May 09 18:02:52 UTC 2026","passed","Sat May 09 18:02:52 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1135","invalidCheckoutTest","Surefire suite","Sat May 09 18:02:56 UTC 2026","passed","Sat May 09 18:02:57 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
