"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can successfully log out and is redirected to the login page","1895","successfulLogoutTest","Surefire suite","Sat May 09 17:40:33 UTC 2026","passed","Sat May 09 17:40:35 UTC 2026","tests.postive.LogoutTests","Surefire test","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot login with invalid credentials","393","invalidLoginTest","Surefire suite","Sat May 09 17:40:40 UTC 2026","passed","Sat May 09 17:40:40 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","384","invalidLoginTest","Surefire suite","Sat May 09 17:40:38 UTC 2026","passed","Sat May 09 17:40:38 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1111","invalidCheckoutTest","Surefire suite","Sat May 09 17:40:41 UTC 2026","passed","Sat May 09 17:40:42 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot continue checkout with missing required fields","1138","invalidCheckoutTest","Surefire suite","Sat May 09 17:40:43 UTC 2026","passed","Sat May 09 17:40:44 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","381","invalidLoginTest","Surefire suite","Sat May 09 17:40:37 UTC 2026","passed","Sat May 09 17:40:37 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1044","invalidCheckoutTest","Surefire suite","Sat May 09 17:40:45 UTC 2026","passed","Sat May 09 17:40:46 UTC 2026","tests.negative.CheckoutNegativeTests","Surefire test","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","394","invalidLoginTest","Surefire suite","Sat May 09 17:40:36 UTC 2026","passed","Sat May 09 17:40:36 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","360","invalidLoginTest","Surefire suite","Sat May 09 17:40:39 UTC 2026","passed","Sat May 09 17:40:39 UTC 2026","tests.negative.InvalidLoginTests","Surefire test","tests.negative.InvalidLoginTests","invalidLoginTest"
